etf_code,etf_name,base_index
A0074K0,KoAct K수출핵심기업TOP30액티브,KEDI K수출핵심기업TOP30 지수(PR)
A0088N0,WON K-글로벌수급상위,DeepSearch 외인수급 Top20 지수
A0138D0,RISE 동학개미,FnGuide 동학개미 지수
A0151P0,RISE 코리아전략산업액티브,KAP 코리아전략산업지수
A0166S0,PLUS K제조업핵심기업액티브,Akros K제조업 50 지수
A0172Y0,ACE K수출핵심TOP10산업액티브,iSelect K수출핵심산업 지수 (시장가격)
A0190C0,RISE 현대차고정피지컬AI,KEDI 현대차고정피지컬AI 지수
A102960,KODEX 기계장비,KRX 기계장비
A104520,KIWOOM 블루칩,MKF 블루칩
A117700,KODEX 건설,KRX 건설
A140570,RISE 수출주,MKF 수출주 지수
A140710,KODEX 운송,KRX 운송
A145850,TREX 펀더멘탈 200,FnGuide-RAFI 코리아200 지수
A150460,TIGER 중국소비테마,FnGuide 중국내수테마 지수
A174350,TIGER 로우볼,FnGuide 로우볼 지수
A215620,HK S&P코리아로우볼,S&P Korea 저변동성 지수
A226380,ACE Fn성장소비주도주,FnGuide 성장소비주도 지수
A266370,KODEX IT,KRX 정보기술
A266550,PLUS 중형주저변동50,FnGuide 중형주저변동50지수
A279540,KODEX 최소변동성,KRX 최소변동성 지수
A280920,PLUS 주도업종,FnGuide 주도업종 지수
A314700,HANARO 농업융복합산업,FnGuide 농업융복합산업지수(시장가격)
A322400,HANARO e커머스,FnGuide E커머스 지수(시장가격)
A326230,RISE 내수주플러스,FnGuide 내수주플러스 지수
A326240,RISE IT플러스,FnGuide IT플러스 지수
A337120,KODEX 멀티팩터,FnGuide 멀티팩터 지수
A364960,TIGER BBIG,KRX BBIG 지수
A367740,HANARO Fn5G산업,FnGuide 5G 산업 지수
A368190,HANARO Fn K-뉴딜디지털플러스,FnGuide K-뉴딜 디지털 플러스 지수
A368680,KODEX K-뉴딜디지털플러스,FnGuide K-뉴딜 디지털 플러스 지수
A373490,KODEX 코리아혁신성장액티브,FnGuide K-이노베이션 지수
A375760,HANARO 탄소효율그린뉴딜,KRX/S&P 탄소효율 그린뉴딜지수
A375770,KODEX 탄소효율그린뉴딜,KRX/S&P 탄소효율 그린뉴딜지수
A376410,TIGER 탄소효율그린뉴딜,KRX/S&P 탄소효율 그린뉴딜지수
A385710,TIME K이노베이션액티브,KRX BBIG 지수
A395150,KODEX 웹툰&드라마,FnGuide 웹툰&드라마 지수
A395170,KODEX Top10동일가중,FnGuide TOP10 동일가중 지수
A404260,KODEX 기후변화솔루션,KRX 기후변화 솔루션지수
A404540,TIGER KRX기후변화솔루션,KRX 기후변화 솔루션지수
A404650,SOL KRX기후변화솔루션,KRX 기후변화 솔루션지수
A407300,HANARO Fn골프테마,FnGuide 골프 테마 지수(시장가격)
A410870,TIME K컬처액티브,FnGuide K-컬처 지수
A412560,TIGER BBIG레버리지,KRX BBIG 레버리지 지수
A438900,HANARO Fn K-푸드,FnGuide K-푸드 지수 (시장가격)
A442090,에셋플러스 코리아대장장이액티브,FnGuide 대장장이 지수(Price Return)
A444200,SOL 코리아메가테크액티브,KEDI 메가테크지수(PR)
A457930,BNK 미래전략기술액티브,iSelect 미래전략기술 지수 (PR)
A470310,UNICORN 생성형AI강소기업액티브,iSelect AI 지수
A476000,UNICORN 포스트IPO액티브,iSelect 포스트 IPO 지수
