etf_code,etf_name,base_index,etf_type,theme
A0000J0,PLUS 한화그룹주,FnGuide 한화그룹주 지수,일반,그룹지주
A0000Z0,RISE 바이오TOP10액티브,KRX 바이오 TOP 10 지수,일반,바이오
A0001P0,마이티 바이오시밀러&CDMO액티브,FnGuide 바이오시밀러&CDMO 지수,일반,바이오
A0005D0,SOL 전고체배터리&실리콘음극재,FnGuide 전고체배터리&실리콘음극재 지수(PR),일반,2차전지
A0005G0,IBK K-AI반도체코어테크,FnGuide K-AI반도체 코어테크 지수,일반,반도체
A0007N0,아이엠에셋 200,코스피 200,일반,코스피대표
A0008T0,SOL 화장품TOP3플러스,FnGuide 화장품TOP3 플러스 지수(PR),일반,화장품
A0018C0,PLUS 고배당주위클리고정커버드콜,코스피 고배당 위클리 고정 커버드콜 지수,일반,배당
A0052D0,TIGER 코리아배당다우존스,Dow Jones Korea Dividend 30 지수 (Price Return),일반,배당
A0053M0,더제이 중소형포커스액티브,코스피 200 중소형주지수,일반,코스피대표
A0074K0,KoAct K수출핵심기업TOP30액티브,KEDI K수출핵심기업TOP30 지수(PR),일반,기타
A0080G0,KODEX 방산TOP10,iSelect 방산 TOP10 지수(Price Return),일반,방산
A0080Y0,SOL 조선TOP3플러스레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,레버리지,조선
A0088N0,WON K-글로벌수급상위,DeepSearch 외인수급 Top20 지수,일반,기타
A0089D0,KODEX 금융고배당TOP10,코스피 200 금융 고배당 TOP 10 지수,일반,금융
A0090B0,PLUS K방산소부장,Akros K방산소부장 지수(PR),일반,반도체
A0091P0,TIGER 코리아원자력,iSelect 코리아 원자력 지수 (Price Return),일반,원자력
A0092B0,SOL 한국원자력SMR,FnGuide 한국원자력 SMR 지수(PR),일반,원자력
A0093A0,RISE AI반도체TOP10,FnGuide AI반도체TOP10 지수,일반,반도체
A0094M0,RISE 코리아밸류업위클리고정커버드콜,코리아 밸류업 위클리 커버드콜 30% 지수,일반,배당
A0098F0,KODEX 원자력SMR,iSelect 원자력SMR 지수(Price Return),일반,원자력
A0098N0,PLUS 자사주매입고배당주,FnGuide 고배당주 플러스 자사주 지수 (PR),일반,배당
A0098Z0,FOCUS 200,코스피 200,일반,코스피대표
A0100K0,KODEX 방산TOP10레버리지,iSelect 방산 TOP10 레버리지 지수,레버리지,방산
A0101N0,RISE AI전력인프라,KRX-Akros AI 전력인프라 지수,일반,AI전력인프라
A0103T0,1Q K소버린AI,iSelect K소버린AI 지수,일반,AI전력인프라
A0104G0,PLUS K방산레버리지,FnGuide K-방위산업 레버리지 (2x) 지수,레버리지,방산
A0104N0,TIGER 200타겟위클리커버드콜,코스피 200 타겟 7% 위클리 커버드콜 지수(Price Return),일반,배당
A0104P0,TIGER 코리아배당다우존스위클리커버드콜,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,일반,배당
A0105D0,SOL 한국AI소프트웨어,KEDI 한국AI소프트웨어 지수(PR),일반,인터넷
A0105E0,SOL 코리아고배당,FnGuide 코리아 고배당 지수(PR),일반,배당
A0111J0,HANARO 증권고배당TOP3플러스,FnGuide 증권 고배당 TOP3 플러스 지수,일반,금융
A0112X0,마이티 200TR,코스피 200 TR지수,일반,코스피대표
A0115D0,KODEX 조선TOP10,KRX 조선 TOP10 지수,일반,조선
A0115E0,KODEX 코리아소버린AI,KRX 코리아 소버린 AI 지수,일반,AI전력인프라
A0117V0,TIGER 코리아AI전력기기TOP3플러스,KEDI 코리아AI전력기기TOP3플러스 지수,일반,AI전력인프라
A0120J0,BNK 카카오그룹포커스,FnGuide 카카오그룹 포커스 지수,일반,그룹지주
A0138D0,RISE 동학개미,FnGuide 동학개미 지수,일반,기타
A0139P0,ACE 고배당주,KRX-Akros 고배당주 20 지수,일반,배당
A0141S0,SOL 조선기자재,FnGuide 조선기자재 지수(PR),일반,조선
A0148J0,TIGER 코리아휴머노이드로봇산업,KEDI 코리아 휴머노이드로봇산업 지수 (PR),일반,로봇
A0150K0,KoAct 수소전력ESS인프라액티브,FnGuide 수소전력ESS인프라 지수(PR),일반,친환경에너지
A0151P0,RISE 코리아전략산업액티브,KAP 코리아전략산업지수,일반,기타
A0152E0,SOL 배당성향탑픽액티브,FnGuide 배당성향탑픽 지수(PR),일반,배당
A0153K0,KODEX 주주환원고배당주,Akros 주주환원 고배당 지수 (Price Return),일반,배당
A0154F0,WON 초대형IB&금융지주,iSelect 초대형IB&금융지주 지수,일반,금융
A0155N0,HANARO K휴머노이드테마TOP10,iSelect K휴머노이드테마TOP10 지수,일반,로봇
A0162Y0,TIME 코스닥액티브,코스닥지수,일반,코스닥대표
A0163Y0,KoAct 코스닥액티브,코스닥지수,일반,코스닥대표
A0166N0,PLUS 코스닥150액티브,코스닥 150,일반,코스닥대표
A0166S0,PLUS K제조업핵심기업액티브,Akros K제조업 50 지수,일반,기타
A0167A0,SOL AI반도체TOP2플러스,FnGuide AI반도체 TOP2 플러스 지수(PR),일반,반도체
A0167B0,SOL 200타겟위클리커버드콜,코스피 200 타겟 15% 위클리 커버드콜 지수,일반,배당
A0168K0,TIGER 기술이전바이오액티브,KRX 기술이전바이오 지수 (PR),일반,바이오
A0172Y0,ACE K수출핵심TOP10산업액티브,iSelect K수출핵심산업 지수 (시장가격),일반,기타
A0176P0,FOCUS AI반도체위클리고정커버드콜,AI 반도체 위클리 고정 30% 커버드콜 지수,일반,반도체
A0177A0,WON 두산그룹포커스,iSelect 두산그룹 포커스 지수,일반,그룹지주
A0177R0,TIGER 반도체TOP10커버드콜액티브,FnGuide 반도체 TOP10 Capped 지수(Price Return),일반,반도체
A0177X0,ACE K휴머노이드로봇산업TOP2+,Akros K-휴머노이드 로봇 TOP2+ 지수 (시장가격),일반,로봇
A0182R0,1Q K반도체TOP2+,NICE K반도체 TOP2 MAX+ 지수,일반,반도체
A0184V0,UNICORN K바이오액티브,FnGuide K-바이오 밸런스드 지수,일반,바이오
A0189Z0,DAISHIN343 금융&지주고배당,KRX-Akros 금융&지주고배당 지수,일반,금융
A0190C0,RISE 현대차고정피지컬AI,KEDI 현대차고정피지컬AI 지수,일반,기타
A0190G0,KODEX 반도체타겟위클리커버드콜,KRX 반도체 타겟9% 분배 위클리 커버드콜 지수,일반,반도체
A0191B0,MIDAS 코스닥액티브,코스닥지수,일반,코스닥대표
A0191S0,IBK 코스닥150,코스닥 150,일반,코스닥대표
A0192L0,RISE SK하이닉스단일종목레버리지,KRX SK하이닉스 레버리지 지수,레버리지,반도체
A0192M0,RISE 삼성전자단일종목레버리지,KRX 삼성전자 레버리지 지수,레버리지,반도체
A0192T0,SOL 코스닥TOP10,코스닥TOP10지수(PR),일반,코스닥대표
A0193G0,KoAct 코스피액티브,코스피지수,일반,코스피대표
A0193K0,PLUS 삼성전자단일종목레버리지,KRX 삼성전자 레버리지 지수,레버리지,반도체
A0193L0,PLUS 삼성전자선물단일종목인버스2X,KRX 삼성전자 선물 인버스 -2X 지수,인버스 2X,반도체
A0193T0,KODEX SK하이닉스단일종목레버리지,KRX SK하이닉스 레버리지 지수,레버리지,반도체
A0193W0,KODEX 삼성전자단일종목레버리지,KRX 삼성전자 레버리지 지수,레버리지,반도체
A0194M0,ACE 삼성전자단일종목레버리지,KRX 삼성전자 레버리지 지수,레버리지,반도체
A0194N0,KIWOOM 삼성전자선물단일종목레버리지,KRX 삼성전자 선물 레버리지 지수,레버리지,반도체
A0194R0,KIWOOM SK하이닉스선물단일종목레버리지,KRX SK하이닉스 선물 레버리지 지수,레버리지,반도체
A0194T0,ACE SK하이닉스단일종목레버리지,KRX SK하이닉스 레버리지 지수,레버리지,반도체
A0195R0,TIGER 삼성전자단일종목레버리지,KRX 삼성전자 레버리지 지수,레버리지,반도체
A0195S0,TIGER SK하이닉스단일종목레버리지,KRX SK하이닉스 레버리지 지수,레버리지,반도체
A0197W0,SOL SK하이닉스단일종목레버리지,KRX SK하이닉스 레버리지 지수,레버리지,반도체
A0197X0,SOL SK하이닉스선물단일종목인버스2X,KRX SK하이닉스 선물 인버스 -2X 지수,인버스 2X,반도체
A0198A0,KIWOOM 코스닥150커버드콜액티브,코스닥150 위클리고정30% 커버드콜지수,일반,배당
A0198B0,1Q 삼성전자선물단일종목레버리지,KRX 삼성전자 선물 레버리지 지수,레버리지,반도체
A0198D0,1Q SK하이닉스선물단일종목레버리지,KRX SK하이닉스 선물 레버리지 지수,레버리지,반도체
A0199C0,ACE 고배당주Plus커버드콜액티브,KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수,일반,배당
A0204S0,TIGER 코스닥액티브,코스닥지수,일반,코스닥대표
A0207G0,SOL 우주항공밸류체인,Akros 우주항공밸류체인 지수(PR),일반,방산
A0208N0,IBK 코스피액티브,코스피지수,일반,코스피대표
A0209D0,KODEX 전고체배터리ESS TOP2플러스,Akros 한국 전고체 배터리 ESS TOP2 플러스 지수(Price Return),일반,2차전지
A0209Z0,ACE 코리아AI전력TOP10,Akros 코리아 AI전력 TOP 10 지수 (시장가격),일반,AI전력인프라
A0210A0,ACE K반도체TOP2+,KRX K-AI 반도체TOP2+지수 (시장가격),일반,반도체
A0210E0,PLUS 200커버드콜액티브,코스피 200 위클리 고정 30% 커버드콜 지수,일반,배당
A0216Z0,ACE K방산TOP5+,KRX K-AI 방산TOP5+ 지수,일반,방산
A069500,KODEX 200,코스피 200,일반,코스피대표
A069660,KIWOOM 200,코스피 200,일반,코스피대표
A091160,KODEX 반도체,KRX 반도체,일반,반도체
A091170,KODEX 은행,KRX 은행,일반,금융
A091180,KODEX 자동차,KRX 자동차,일반,자동차
A091220,TIGER 은행,KRX 은행,일반,금융
A091230,TIGER 반도체,KRX 반도체,일반,반도체
A100910,KIWOOM KRX100,KRX 100,일반,코스피대표
A102110,TIGER 200,코스피 200,일반,코스피대표
A102780,KODEX 삼성그룹,MKF 삼성그룹지수,일반,그룹지주
A102960,KODEX 기계장비,KRX 기계장비,일반,기타
A102970,KODEX 증권,KRX 증권,일반,금융
A104520,KIWOOM 블루칩,MKF 블루칩,일반,기타
A104530,KIWOOM 코리아고배당,MKF 웰스 고배당 20,일반,배당
A105190,ACE 200,코스피 200,일반,코스피대표
A105780,RISE 5대그룹주,MKF 5대그룹주,일반,그룹지주
A108450,ACE 삼성그룹섹터가중,MKF SAMs SW,일반,그룹지주
A108590,TREX 200,코스피 200,일반,코스피대표
A114800,KODEX 인버스,코스피 200 선물인버스 지수,인버스 1X,코스피대표
A117460,KODEX 에너지화학,KRX 에너지화학,일반,원자재
A117680,KODEX 철강,KRX 철강,일반,원자재
A117700,KODEX 건설,KRX 건설,일반,기타
A122090,PLUS 코스피50,코스피 50,일반,코스피대표
A122630,KODEX 레버리지,코스피 200 레버리지지수,레버리지,코스피대표
A123310,TIGER 인버스,코스피 200 선물인버스 지수,인버스 1X,코스피대표
A123320,TIGER 레버리지,코스피 200 레버리지지수,레버리지,코스피대표
A131890,ACE 삼성그룹동일가중,MKF SAMs EW Index,일반,그룹지주
A138520,TIGER 삼성그룹,MKF SAMs FW,일반,그룹지주
A138530,TIGER LG그룹플러스,MKF LG그룹+ FW,일반,그룹지주
A138540,TIGER 현대차그룹플러스,MKF 현대차그룹+ FW,일반,그룹지주
A139220,TIGER 200 건설,코스피 200 건설,일반,코스피대표
A139230,TIGER 200 중공업,코스피 200 중공업,일반,코스피대표
A139240,TIGER 200 철강소재,코스피 200 철강/소재,일반,원자재
A139250,TIGER 200 에너지화학,코스피 200 에너지/화학,일반,원자재
A139260,TIGER 200 IT,코스피 200 정보기술,일반,코스피대표
A139270,TIGER 200 금융,코스피 200 금융,일반,금융
A139280,TIGER 경기방어,코스피 200 경기방어소비재,일반,소비재
A139290,TIGER 200 경기소비재,코스피 200 경기소비재,일반,소비재
A140570,RISE 수출주,MKF 수출주 지수,일반,기타
A140580,RISE 우량업종대표주,MKF 우량업종대표주 지수,일반,팩터
A140700,KODEX 보험,KRX 보험,일반,금융
A140710,KODEX 운송,KRX 운송,일반,기타
A140950,파워 코스피100,코스피 100,일반,코스피대표
A143860,TIGER 헬스케어,KRX 헬스케어,일반,바이오
