base_date,date,etf_code,etf_name,etf_type,base_index,cu_size,listing_date,delisting_date,mktcap,close,ret,nav,disparity,shares_out,num_cu,cu_value
20260702,20260703,A0000J0,PLUS 한화그룹주,일반,FnGuide 한화그룹주 지수,50000.0,20241224,,116828.25,30345.0,1.4,30265.98,0.26,3850000.0,77.0,1513299000.0
20260702,20260706,A0000J0,PLUS 한화그룹주,일반,FnGuide 한화그룹주 지수,50000.0,20241224,,119600.25,31065.0,2.37,31055.78,0.03,3850000.0,77.0,1552789000.0
20260702,20260707,A0000J0,PLUS 한화그룹주,일반,FnGuide 한화그룹주 지수,50000.0,20241224,,112220.0,28055.0,-9.69,28159.42,-0.37,4000000.0,80.0,1407971000.0
20260702,20260708,A0000J0,PLUS 한화그룹주,일반,FnGuide 한화그룹주 지수,50000.0,20241224,,103780.0,25945.0,-7.52,26150.96,-0.79,4000000.0,80.0,1307548000.0
20260702,20260709,A0000J0,PLUS 한화그룹주,일반,FnGuide 한화그룹주 지수,50000.0,20241224,,104140.0,25400.0,-2.1,25346.02,0.21,4100000.0,82.0,1267301000.0
20260702,20260703,A0000Z0,RISE 바이오TOP10액티브,일반,KRX 바이오 TOP 10 지수,50000.0,20241224,,62002.0,10690.0,-2.33,10622.18,0.64,5800000.0,116.0,531109000.0
20260702,20260706,A0000Z0,RISE 바이오TOP10액티브,일반,KRX 바이오 TOP 10 지수,50000.0,20241224,,60392.5,10150.0,-5.05,10093.89,0.56,5950000.0,119.0,504694500.0
20260702,20260707,A0000Z0,RISE 바이오TOP10액티브,일반,KRX 바이오 TOP 10 지수,50000.0,20241224,,61389.5,10405.0,2.51,10404.17,0.01,5900000.0,118.0,520208500.0
20260702,20260708,A0000Z0,RISE 바이오TOP10액티브,일반,KRX 바이오 TOP 10 지수,50000.0,20241224,,57377.5,9725.0,-6.54,9683.24,0.43,5900000.0,118.0,484162000.0
20260702,20260709,A0000Z0,RISE 바이오TOP10액티브,일반,KRX 바이오 TOP 10 지수,50000.0,20241224,,56964.5,9655.0,-0.72,9544.99,1.15,5900000.0,118.0,477249500.0
20260702,20260703,A0001P0,마이티 바이오시밀러&CDMO액티브,일반,FnGuide 바이오시밀러&CDMO 지수,40000.0,20241224,,10931.2,9760.0,-0.41,9838.99,-0.8,1120000.0,28.0,393559600.0
20260702,20260706,A0001P0,마이티 바이오시밀러&CDMO액티브,일반,FnGuide 바이오시밀러&CDMO 지수,40000.0,20241224,,10556.0,9425.0,-3.43,9507.03,-0.86,1120000.0,28.0,380281200.0
20260702,20260707,A0001P0,마이티 바이오시밀러&CDMO액티브,일반,FnGuide 바이오시밀러&CDMO 지수,40000.0,20241224,,10824.8,9665.0,2.55,9682.73,-0.18,1120000.0,28.0,387309200.0
20260702,20260708,A0001P0,마이티 바이오시밀러&CDMO액티브,일반,FnGuide 바이오시밀러&CDMO 지수,40000.0,20241224,,10360.0,9250.0,-4.29,9156.91,1.02,1120000.0,28.0,366276400.0
20260702,20260709,A0001P0,마이티 바이오시밀러&CDMO액티브,일반,FnGuide 바이오시밀러&CDMO 지수,40000.0,20241224,,10164.0,9075.0,-1.89,9014.1,0.68,1120000.0,28.0,360564000.0
20260702,20260703,A0005D0,SOL 전고체배터리&실리콘음극재,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),50000.0,20250107,,141027.5,14845.0,0.75,14845.19,0.0,9500000.0,190.0,742259500.0
20260702,20260706,A0005D0,SOL 전고체배터리&실리콘음극재,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),50000.0,20250107,,133083.0,14310.0,-3.6,14328.08,-0.13,9300000.0,186.0,716404000.0
20260702,20260707,A0005D0,SOL 전고체배터리&실리콘음극재,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),50000.0,20250107,,131741.5,14090.0,-1.54,14044.01,0.33,9350000.0,187.0,702200500.0
20260702,20260708,A0005D0,SOL 전고체배터리&실리콘음극재,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),50000.0,20250107,,120989.0,12940.0,-8.16,12957.8,-0.14,9350000.0,187.0,647890000.0
20260702,20260709,A0005D0,SOL 전고체배터리&실리콘음극재,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),50000.0,20250107,,121316.25,12975.0,0.27,12920.9,0.42,9350000.0,187.0,646045000.0
20260702,20260703,A0005G0,IBK K-AI반도체코어테크,일반,FnGuide K-AI반도체 코어테크 지수,50000.0,20250121,,219958.0,61960.0,6.51,61743.31,0.35,3550000.0,71.0,3087165500.0
20260702,20260706,A0005G0,IBK K-AI반도체코어테크,일반,FnGuide K-AI반도체 코어테크 지수,50000.0,20250121,,211136.25,59475.0,-4.01,59444.29,0.05,3550000.0,71.0,2972214500.0
20260702,20260707,A0005G0,IBK K-AI반도체코어테크,일반,FnGuide K-AI반도체 코어테크 지수,50000.0,20250121,,198252.0,55070.0,-7.41,55461.7,-0.71,3600000.0,72.0,2773085000.0
20260702,20260708,A0005G0,IBK K-AI반도체코어테크,일반,FnGuide K-AI반도체 코어테크 지수,50000.0,20250121,,185076.0,51410.0,-6.65,51564.34,-0.3,3600000.0,72.0,2578217000.0
20260702,20260709,A0005G0,IBK K-AI반도체코어테크,일반,FnGuide K-AI반도체 코어테크 지수,50000.0,20250121,,191178.0,53105.0,3.3,53290.32,-0.35,3600000.0,72.0,2664516000.0
20260702,20260703,A0007N0,아이엠에셋 200,일반,코스피 200,50000.0,20250211,,118750.5,131945.0,5.78,131302.55,0.49,900000.0,18.0,6565127499.999999
20260702,20260706,A0007N0,아이엠에셋 200,일반,코스피 200,50000.0,20250211,,117999.0,131110.0,-0.63,130678.79,0.33,900000.0,18.0,6533939500.0
20260702,20260707,A0007N0,아이엠에셋 200,일반,코스피 200,50000.0,20250211,,112284.0,124760.0,-4.84,123873.53,0.72,900000.0,18.0,6193676500.0
20260702,20260708,A0007N0,아이엠에셋 200,일반,코스피 200,50000.0,20250211,,106299.0,118110.0,-5.33,117077.45,0.88,900000.0,18.0,5853872500.0
20260702,20260709,A0007N0,아이엠에셋 200,일반,코스피 200,50000.0,20250211,,107140.5,119045.0,0.79,118222.07,0.7,900000.0,18.0,5911103500.0
20260702,20260703,A0008T0,SOL 화장품TOP3플러스,일반,FnGuide 화장품TOP3 플러스 지수(PR),50000.0,20250121,,69145.5,14870.0,-0.4,14835.06,0.24,4650000.0,93.0,741753000.0
20260702,20260706,A0008T0,SOL 화장품TOP3플러스,일반,FnGuide 화장품TOP3 플러스 지수(PR),50000.0,20250121,,69796.5,15010.0,0.94,15041.87,-0.21,4650000.0,93.0,752093500.0
20260702,20260707,A0008T0,SOL 화장품TOP3플러스,일반,FnGuide 화장품TOP3 플러스 지수(PR),50000.0,20250121,,78250.0,15650.0,4.26,15680.61,-0.2,5000000.0,100.0,784030500.0
20260702,20260708,A0008T0,SOL 화장품TOP3플러스,일반,FnGuide 화장품TOP3 플러스 지수(PR),50000.0,20250121,,72677.25,14985.0,-4.25,15043.35,-0.39,4850000.0,97.0,752167500.0
20260702,20260709,A0008T0,SOL 화장품TOP3플러스,일반,FnGuide 화장품TOP3 플러스 지수(PR),50000.0,20250121,,70179.5,14470.0,-3.44,14489.41,-0.13,4850000.0,97.0,724470500.0
