,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,20260706,20260707,20260708,20260709,20260703,num_cu_20260703,num_cu_20260706,num_cu_20260707,num_cu_20260708,num_cu_20260709
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0000J0,PLUS 한화그룹주,20241224,,일반,FnGuide 한화그룹주 지수,116828.25,119600.25,112220,103780,104140,30345,31065,28055,25945,25400,1.4,2.37,-9.69,-7.52,-2.1,30265.98,31055.78,28159.42,26150.96,25346.02,0.26,0.03,-0.37,-0.79,0.21,3850000,3850000,4000000,4000000,4100000,50000,77,77,80,80,82
A0000Z0,RISE 바이오TOP10액티브,20241224,,일반,KRX 바이오 TOP 10 지수,62002,60392.5,61389.5,57377.5,56964.5,10690,10150,10405,9725,9655,-2.33,-5.05,2.51,-6.54,-0.72,10622.18,10093.89,10404.17,9683.24,9544.99,0.64,0.56,0.01,0.43,1.15,5800000,5950000,5900000,5900000,5900000,50000,116,119,118,118,118
A0001P0,마이티 바이오시밀러&CDMO액티브,20241224,,일반,FnGuide 바이오시밀러&CDMO 지수,10931.2,10556,10824.8,10360,10164,9760,9425,9665,9250,9075,-0.41,-3.43,2.55,-4.29,-1.89,9838.99,9507.03,9682.73,9156.91,9014.1,-0.8,-0.86,-0.18,1.02,0.68,1120000,1120000,1120000,1120000,1120000,40000,28,28,28,28,28
A0005D0,SOL 전고체배터리&실리콘음극재,20250107,,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),141027.5,133083,131741.5,120989,121316.25,14845,14310,14090,12940,12975,0.75,-3.6,-1.54,-8.16,0.27,14845.19,14328.08,14044.01,12957.8,12920.9,0,-0.13,0.33,-0.14,0.42,9500000,9300000,9350000,9350000,9350000,50000,190,186,187,187,187
A0005G0,IBK K-AI반도체코어테크,20250121,,일반,FnGuide K-AI반도체 코어테크 지수,219958,211136.25,198252,185076,191178,61960,59475,55070,51410,53105,6.51,-4.01,-7.41,-6.65,3.3,61743.31,59444.29,55461.7,51564.34,53290.32,0.35,0.05,-0.71,-0.3,-0.35,3550000,3550000,3600000,3600000,3600000,50000,71,71,72,72,72
A0007N0,아이엠에셋 200,20250211,,일반,코스피 200,118750.5,117999,112284,106299,107140.5,131945,131110,124760,118110,119045,5.78,-0.63,-4.84,-5.33,0.79,131302.55,130678.79,123873.53,117077.45,118222.07,0.49,0.33,0.72,0.88,0.7,900000,900000,900000,900000,900000,50000,18,18,18,18,18
A0008T0,SOL 화장품TOP3플러스,20250121,,일반,FnGuide 화장품TOP3 플러스 지수(PR),69145.5,69796.5,78250,72677.25,70179.5,14870,15010,15650,14985,14470,-0.4,0.94,4.26,-4.25,-3.44,14835.06,15041.87,15680.61,15043.35,14489.41,0.24,-0.21,-0.2,-0.39,-0.13,4650000,4650000,5000000,4850000,4850000,50000,93,93,100,97,97
A0018C0,PLUS 고배당주위클리고정커버드콜,20250305,,일반,코스피 고배당 위클리 고정 커버드콜 지수,78548,79170,78936,78840,77031.25,10760,10920,11040,10950,10625,1.32,1.49,1.1,-0.82,-2.97,10740.64,10912.81,11066.97,10901.33,10695.28,0.18,0.07,-0.24,0.45,-0.66,7300000,7250000,7150000,7200000,7250000,50000,146,145,143,144,145
A0052D0,TIGER 코리아배당다우존스,20250520,,일반,Dow Jones Korea Dividend 30 지수 (Price Return),356511,357643.5,358319.5,353584,343549.25,15740,15790,15890,15680,15235,2.74,0.32,0.63,-1.32,-2.84,15785.28,15879.48,15967.37,15653.47,15481.88,-0.29,-0.56,-0.48,0.17,-1.59,22650000,22650000,22550000,22550000,22550000,50000,453,453,451,451,451
A0053M0,더제이 중소형포커스액티브,20250722,,일반,코스피 200 중소형주지수,6502.5,6423.75,6329.25,5985,5922,14450,14275,14065,13300,13160,-0.28,-1.21,-1.47,-5.44,-1.05,14581.96,14374.01,14149.15,13390.9,13253.34,-0.9,-0.69,-0.59,-0.68,-0.7,450000,450000,450000,450000,450000,50000,9,9,9,9,9
A0074K0,KoAct K수출핵심기업TOP30액티브,20250708,,일반,KEDI K수출핵심기업TOP30 지수(PR),155867,153220.5,145360,134932,137018.25,19730,19395,18400,17080,17235,2.1,-1.7,-5.13,-7.17,0.91,19684.76,19356.74,18368.96,17070.55,17127.79,0.23,0.2,0.17,0.06,0.63,7900000,7900000,7900000,7900000,7950000,50000,158,158,158,158,159
A0080G0,KODEX 방산TOP10,20250715,,일반,iSelect 방산 TOP10 지수(Price Return),408811,412529,398664,356714.5,352602,12095,12205,11760,10585,10310,2.85,0.91,-3.65,-9.99,-2.6,12084.83,12238.97,11750.99,10678.98,10428.24,0.08,-0.28,0.08,-0.88,-1.13,33800000,33800000,33900000,33700000,34200000,100000,338,338,339,337,342
A0080Y0,SOL 조선TOP3플러스레버리지,20250715,,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,148132,156838.5,127822.5,110448,106177.5,12770,13405,10925,9360,9075,1.83,4.97,-18.5,-14.32,-3.04,12697.78,13464.32,10882.98,9489.48,8959.39,0.57,-0.44,0.39,-1.36,1.29,11600000,11700000,11700000,11800000,11700000,100000,116,117,117,118,117
A0088N0,WON K-글로벌수급상위,20250812,,일반,DeepSearch 외인수급 Top20 지수,17110,16580.75,16319.75,15283,15225,11800,11435,11255,10540,10500,0.08,-3.09,-1.57,-6.35,-0.38,11778.81,11472.54,11233.33,10523.88,10445.65,0.18,-0.33,0.19,0.15,0.52,1450000,1450000,1450000,1450000,1450000,50000,29,29,29,29,29
A0089D0,KODEX 금융고배당TOP10,20250812,,일반,코스피 200 금융 고배당 TOP 10 지수,234900,238728,238902,234726,227853,13500,13720,13730,13490,13095,3.85,1.63,0.07,-1.75,-2.93,13553.25,13750.96,13792.92,13474.35,13141.63,-0.39,-0.23,-0.46,0.12,-0.35,17400000,17400000,17400000,17400000,17400000,100000,174,174,174,174,174
A0090B0,PLUS K방산소부장,20250826,,일반,Akros K방산소부장 지수(PR),13356.75,14586,13625.5,11936,11896,8095,8580,8015,7460,7435,2.08,5.99,-6.59,-6.92,-0.34,8061.24,8544.63,8055.02,7515.13,7379.52,0.42,0.41,-0.5,-0.73,0.75,1650000,1700000,1700000,1600000,1600000,50000,33,34,34,32,32
A0091P0,TIGER 코리아원자력,20250819,,일반,iSelect 코리아 원자력 지수 (Price Return),570475.75,564984,543312,498933.75,498036,16705,16520,15840,14525,14520,0.75,-1.11,-4.12,-8.3,-0.03,16639.28,16585.52,15798.62,14579.92,14604.13,0.39,-0.4,0.26,-0.38,-0.58,34150000,34200000,34300000,34350000,34300000,50000,683,684,686,687,686
A0092B0,SOL 한국원자력SMR,20250819,,일반,FnGuide 한국원자력 SMR 지수(PR),129842.5,129425,123090,113478.75,111492,15550,15500,14920,13755,13680,0.06,-0.32,-3.74,-7.81,-0.55,15576.78,15549.06,14916,13810.78,13743.04,-0.17,-0.32,0.03,-0.4,-0.46,8350000,8350000,8250000,8250000,8150000,50000,167,167,165,165,163
A0093A0,RISE AI반도체TOP10,20250826,,일반,FnGuide AI반도체TOP10 지수,198952,192582,185270.5,177125,185259,38260,37035,34630,32500,33380,5.57,-3.2,-6.49,-6.15,2.71,38251.03,36978.9,34766.79,32442.16,33363.82,0.02,0.15,-0.39,0.18,0.05,5200000,5200000,5350000,5450000,5550000,50000,104,104,107,109,111
A0094M0,RISE 코리아밸류업위클리고정커버드콜,20250902,,일반,코리아 밸류업 위클리 커버드콜 30% 지수,155125,156214,154660,152248.75,155037.5,21250,21110,20350,19645,19750,3.16,-0.66,-3.6,-3.46,0.53,21127.34,21099.81,20424.11,19570.55,19634.09,0.58,0.05,-0.36,0.38,0.59,7300000,7400000,7600000,7750000,7850000,50000,146,148,152,155,157
A0098F0,KODEX 원자력SMR,20250916,,일반,iSelect 원자력SMR 지수(Price Return),219518.75,219282,210312.25,195573,190895.25,15965,15890,15185,14070,13985,0.73,-0.47,-4.44,-7.34,-0.6,15930.55,15961.6,15245.65,14115.34,14051.32,0.22,-0.45,-0.4,-0.32,-0.47,13750000,13800000,13850000,13900000,13650000,50000,275,276,277,278,273
A0098N0,PLUS 자사주매입고배당주,20250916,,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),82592.25,81081,81931.5,81207,78939,12805,12870,13005,12890,12530,2.73,0.51,1.05,-0.88,-2.79,12827.39,12909.8,13058.72,12869.54,12690.47,-0.17,-0.31,-0.41,0.16,-1.26,6450000,6300000,6300000,6300000,6300000,50000,129,126,126,126,126
A0098Z0,FOCUS 200,20250923,,일반,코스피 200,67374,77364,72943.5,69776,75386.25,112290,110520,104205,99680,100515,6.99,-1.58,-5.71,-4.34,0.84,111567.99,111067.87,105338.23,99630.8,100538.41,0.65,-0.49,-1.08,0.05,-0.02,600000,700000,700000,700000,750000,50000,12,14,14,14,15
A0100K0,KODEX 방산TOP10레버리지,20250916,,레버리지,iSelect 방산 TOP10 레버리지 지수,52110,54000,49140,40203,37260,9650,10000,9100,7445,6900,5.93,3.63,-9,-18.19,-7.32,9688.91,9917.38,9069.64,7411.62,7020.11,-0.4,0.83,0.33,0.45,-1.71,5400000,5400000,5400000,5400000,5400000,100000,54,54,54,54,54
