,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,num_cu_20260626,num_cu_20260629,num_cu_20260630,num_cu_20260701,num_cu_20260702
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0000J0,PLUS 한화그룹주,20241224,,일반,FnGuide 한화그룹주 지수,109200,114229.5,110803,116327.75,115211.25,28000,29670,28780,30215,29925,-7.07,5.96,-3,4.99,-0.96,28053.66,29788.54,28745.04,30198.78,29848.66,-0.19,-0.4,0.12,0.05,0.26,3900000,3850000,3850000,3850000,3850000,50000,78,77,77,77,77
A0000Z0,RISE 바이오TOP10액티브,20241224,,일반,KRX 바이오 TOP 10 지수,57165,66220,62048,62964.75,61839.25,10300,11825,11080,11345,10945,-6.36,14.81,-6.3,2.39,-3.53,10304.73,11769.83,11040.27,11301.7,10903.93,-0.05,0.47,0.36,0.38,0.38,5550000,5600000,5600000,5550000,5650000,50000,111,112,112,111,113
A0001P0,마이티 바이오시밀러&CDMO액티브,20241224,,일반,FnGuide 바이오시밀러&CDMO 지수,10309.6,11580.8,11088,11149.6,10976,9205,10340,9900,9955,9800,-5.83,12.33,-4.26,0.56,-1.56,9288.81,10292.58,9858.44,9976.78,9792.33,-0.9,0.46,0.42,-0.22,0.08,1120000,1120000,1120000,1120000,1120000,40000,28,28,28,28,28
A0005D0,SOL 전고체배터리&실리콘음극재,20250107,,일반,FnGuide 전고체배터리&실리콘음극재 지수(PR),138473.5,156426,149776.5,146057.5,139245.75,14810,16820,16105,15790,14735,-5.79,13.57,-4.25,-1.96,-6.68,14808.46,16752.63,16044.75,15731.93,14767.63,0.01,0.4,0.38,0.37,-0.22,9350000,9300000,9300000,9250000,9450000,50000,187,186,186,185,189
A0005G0,IBK K-AI반도체코어테크,20250121,,일반,FnGuide K-AI반도체 코어테크 지수,231815,231744,238222.75,237104.5,206521.25,65300,65280,67105,66790,58175,-4.51,-0.03,2.8,-0.47,-12.9,65340.23,64980.39,67228.61,66506.52,58536.79,-0.06,0.46,-0.18,0.43,-0.62,3550000,3550000,3550000,3550000,3550000,50000,71,71,71,71,71
A0007N0,아이엠에셋 200,20250211,,일반,코스피 200,124654.5,123619.5,125496,121918.5,112266,138505,137355,139440,135465,124740,-5.92,-0.83,1.52,-2.85,-7.92,138046.95,136681.04,138518.52,134936.05,123269.81,0.33,0.49,0.67,0.39,1.19,900000,900000,900000,900000,900000,50000,18,18,18,18,18
A0008T0,SOL 화장품TOP3플러스,20250121,,일반,FnGuide 화장품TOP3 플러스 지수(PR),59127.25,64170,63365,68080,68678,12995,13950,13775,14800,14930,-2.07,7.35,-1.25,7.44,0.88,13050.83,14036.84,13748.43,14820.02,14903.92,-0.43,-0.62,0.19,-0.14,0.17,4550000,4600000,4600000,4600000,4600000,50000,91,92,92,92,92
A0018C0,PLUS 고배당주위클리고정커버드콜,20250305,,일반,코스피 고배당 위클리 고정 커버드콜 지수,74325,76362.5,75924,77293,77526,9910,10250,10260,10445,10620,-1.98,3.43,0.1,1.8,1.68,9917.05,10284.18,10222.45,10490.8,10614.1,-0.07,-0.33,0.37,-0.44,0.06,7500000,7450000,7400000,7400000,7300000,50000,150,149,148,148,146
A0052D0,TIGER 코리아배당다우존스,20250520,,일반,Dow Jones Korea Dividend 30 지수 (Price Return),327520,345575,341435,343102.5,346998,14240,15025,14845,14950,15320,-3.26,5.51,-1.2,0.71,2.47,14331.31,15019.82,14818.42,15094.2,15430.84,-0.64,0.03,0.18,-0.96,-0.72,23000000,23000000,23000000,22950000,22650000,50000,460,460,460,459,453
A0053M0,더제이 중소형포커스액티브,20250722,,일반,코스피 200 중소형주지수,6167.25,6502.5,6687,6887.25,6520.5,13705,14450,14860,15305,14490,-3.08,5.44,2.84,2.99,-5.33,13710.11,14452.82,14796.34,15358.21,14544.02,-0.04,-0.02,0.43,-0.35,-0.37,450000,450000,450000,450000,450000,50000,9,9,9,9,9
A0074K0,KoAct K수출핵심기업TOP30액티브,20250708,,일반,KEDI K수출핵심기업TOP30 지수(PR),157981.25,161831.5,164517.5,164952,152667.5,20125,20485,20825,20880,19325,-5.69,1.79,1.66,0.26,-7.45,20080.16,20458.97,20735.18,20898.7,19157.45,0.22,0.13,0.43,-0.09,0.87,7850000,7900000,7900000,7900000,7900000,50000,157,158,158,158,158
A0080G0,KODEX 방산TOP10,20250715,,일반,iSelect 방산 TOP10 지수(Price Return),365885,386580,372031,400653,396312,10825,11370,10910,11715,11760,-4.88,5.03,-4.05,7.38,0.38,10809.74,11321.4,10874.99,11674.68,11731.6,0.14,0.43,0.32,0.35,0.24,33800000,34000000,34100000,34200000,33700000,100000,338,340,341,342,337
A0080Y0,SOL 조선TOP3플러스레버리지,20250715,,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,125186,147578,148828,152424,145464,11810,13060,12830,13140,12540,-9.92,10.58,-1.76,2.42,-4.57,11652.85,13125.46,12431.17,13024.78,12621.23,1.35,-0.5,3.21,0.88,-0.64,10600000,11300000,11600000,11600000,11600000,100000,106,113,116,116,116
A0088N0,WON K-글로벌수급상위,20250812,,일반,DeepSearch 외인수급 Top20 지수,17302.5,18255,18210,18592.5,17095.5,11535,12170,12140,12395,11790,-2.7,5.5,-0.25,2.1,-4.88,11520.47,12146.98,12123.15,12446.72,11785.72,0.13,0.19,0.14,-0.42,0.04,1500000,1500000,1500000,1500000,1450000,50000,30,30,30,30,29
A0089D0,KODEX 금융고배당TOP10,20250812,,일반,코스피 200 금융 고배당 TOP 10 지수,210281.5,224458,225793,227128,231400,12155,12610,12685,12760,13000,-3.84,3.74,0.59,0.59,1.88,12176.64,12589.76,12661.16,12808.94,13019.1,-0.18,0.16,0.19,-0.38,-0.15,17300000,17800000,17800000,17800000,17800000,100000,173,178,178,178,178
A0090B0,PLUS K방산소부장,20250826,,일반,Akros K방산소부장 지수(PR),11720,13695,13010.25,13810.5,13084.5,7325,8300,7885,8370,7930,-7.4,13.31,-5,6.15,-5.26,7379.24,8266.53,7878.62,8367.38,7990.58,-0.74,0.4,0.08,0.03,-0.76,1600000,1650000,1650000,1650000,1650000,50000,32,33,33,33,33
A0091P0,TIGER 코리아원자력,20250819,,일반,iSelect 코리아 원자력 지수 (Price Return),549692.5,601125,585016.25,603060,564549,15550,17175,16835,17480,16580,-7.88,10.45,-1.98,3.83,-5.15,15644.26,17192.76,16776.32,17414.01,16631.19,-0.6,-0.1,0.35,0.38,-0.31,35350000,35000000,34750000,34500000,34050000,50000,707,700,695,690,681
